Dictation,All,Deneir,1,Priests Spell Compendium Volume 1
Druid's Ceremony,All,Druid,1,Priests Spell Compendium Volume 1
Beast Tattoo,All,Elf,1,Priests Spell Compendium Volume 1
Beneficence,All,,1,Priests Spell Compendium Volume 1
Bless,All,,1,Priests Spell Compendium Volume 1
Ceremony,All,,1,Priests Spell Compendium Volume 1
Cleanse,All,,1,Priests Spell Compendium Volume 1
Combine,All,,1,Priests Spell Compendium Volume 1
Detect Magic,All,,1,Priests Spell Compendium Volume 1
Om,All,,1,Priests Spell Compendium Volume 2
Orison,All,,1,Priests Spell Compendium Volume 2
Purify Food & Drink,All,,1,Priests Spell Compendium Volume 2
Purify Self,All,,1,Priests Spell Compendium Volume 2
Sanctify Ghi,All,,1,Priests Spell Compendium Volume 2
Scribe,All,,1,Priests Spell Compendium Volume 2
Elemental Bonding,Elemental (All),,1,Priests Spell Compendium Volume 1
Battlefate,Chaos,,1,Priests Spell Compendium Volume 1
Mistaken Missive,Chaos,,1,Priests Spell Compendium Volume 2
Portent,"Chaos, Divination",,1,Priests Spell Compendium Volume 2
Snake Charm of Sseth,Charm,Hlondathan only,1,Priests Spell Compendium Volume 2
Voodoo,Charm,Shaman,1,Priests Spell Compendium Volume 3
Excessive Indulgeance,Charm,Sharess,1,Priests Spell Compendium Volume 1
Fortitude of Uthgar,Charm,Tempus,1,Priests Spell Compendium Volume 1
Calm,Charm,,1,Priests Spell Compendium Volume 1
Hibernate,Charm,,1,Priests Spell Compendium Volume 2
Remove Fear,Charm,,1,Priests Spell Compendium Volume 2
Command,"Charm, Combat, Law",,1,Priests Spell Compendium Volume 1
Threnody,"Charm, Necromantic",Drow,1,Priests Spell Compendium Volume 3
Alert Vigil,"Charm, Necromantic",Torm,1,Priests Spell Compendium Volume 1
Santuary,"Charm, Protection",,1,Priests Spell Compendium Volume 2
Mending,Creation,Dwarf,1,Priests Spell Compendium Volume 2
Augment Artistry,Creation,Elf,1,Priests Spell Compendium Volume 1
Daydream,Creation,Halfling,1,Priests Spell Compendium Volume 1
Light,"Creation, Guardian",,1,Priests Spell Compendium Volume 2
Light,"Creation, Guardian",,1,Priests Spell Compendium Volume 2
Blessed Watchfulness,Guardian,"Dwarf, Gnome, Halfling",1,Priests Spell Compendium Volume 1
Sacred Guardian,Guardian,,1,Priests Spell Compendium Volume 2
Sentry of Helm,"Guardian, Travelers",Helm,1,Priests Spell Compendium Volume 2
Whisperward,"Guardian, Weather",,1,Priests Spell Compendium Volume 3
Sea Legs,Healing,Valkur,1,Priests Spell Compendium Volume 2
Cure Light Wounds,Healing,,1,Priests Spell Compendium Volume 1
Regenerate Light Wounds,Healing,,1,Priests Spell Compendium Volume 2
Santuary,"Charm, Protection",,1,Priests Spell Compendium Volume 2
Sixth Sense,Protection,Elf,1,Priests Spell Compendium Volume 2
Mistake,Protection,Gnome,1,Priests Spell Compendium Volume 2
Steelskin,Protection,Gnome,1,Priests Spell Compendium Volume 3
Warning Shout,Protection,Halfling,1,Priests Spell Compendium Volume 3
Rosemantle,Protection,Lathander,1,Priests Spell Compendium Volume 2
Deflection,Protection,,1,Priests Spell Compendium Volume 1
Endure Cold/Heat,Protection,,1,Priests Spell Compendium Volume 1
Protection from Evil,Protection,,1,Priests Spell Compendium Volume 2
Protection from Prime,Protection,,1,Priests Spell Compendium Volume 2
Protection from Silver,Protection,,1,Priests Spell Compendium Volume 2
Rainshield,Protection,,1,Priests Spell Compendium Volume 2
Resist,Protection,,1,Priests Spell Compendium Volume 2
Ring of Hands,Protection,,1,Priests Spell Compendium Volume 2
Waterfloat,Protection,,1,Priests Spell Compendium Volume 3
Pressure Resistance,"Protection, Water",Umberlee,1,Priests Spell Compendium Volume 2
Steal Psionic Strength,Thought,Dwarf,1,Priests Spell Compendium Volume 3
Emotion Read,Thought,,1,Priests Spell Compendium Volume 1
Thought Capture,Thought,,1,Priests Spell Compendium Volume 3
Anti-Vermin Barrier,Wards,,1,Priests Spell Compendium Volume 1
Weighty Chest,Wards,,1,Priests Spell Compendium Volume 3
Command,"Charm, Combat, Law",,1,Priests Spell Compendium Volume 1
Magical Tether,Combat,Auril,1,Priests Spell Compendium Volume 2
Animate Weapon,Combat,Dwarf,1,Priests Spell Compendium Volume 1
Claws of Thard Harr,Combat,Dwarf,1,Priests Spell Compendium Volume 1
Silverbeard,Combat,Dwarf,1,Priests Spell Compendium Volume 2
Deafening Clang,Combat,Gnome,1,Priests Spell Compendium Volume 1
Stumble,Combat,Hoar,1,Priests Spell Compendium Volume 3
Spittle,Combat,Iyachtu Xvim,1,Priests Spell Compendium Volume 3
Water Sprint,Combat,Mulhorandi Pantheon,1,Priests Spell Compendium Volume 3
Hunt Nemesis,Combat,Shaman,1,Priests Spell Compendium Volume 2
Handfire,Combat,Sune,1,Priests Spell Compendium Volume 2
Blood Bond,Combat,,1,Priests Spell Compendium Volume 1
Magical Stone,Combat,,1,Priests Spell Compendium Volume 2
Weapon Bless,Combat,,1,Priests Spell Compendium Volume 3
Foresight,"Combat, Divination",Azuth,1,Priests Spell Compendium Volume 1
Leaf into Dagger,"Combat, Plant",Chauntea,1,Priests Spell Compendium Volume 2
Petrify Wood,"Combat, Plant",,1,Priests Spell Compendium Volume 2
Frost Breath,"Combat, Weather",Auril,1,Priests Spell Compendium Volume 1
Speak with Avians,"Animal, Divination",Elf,1,Priests Spell Compendium Volume 2
Speak with Birds,"Animal, Divination",Mulhorandi Pantheon,1,Priests Spell Compendium Volume 2
Portent,"Chaos, Divination",,1,Priests Spell Compendium Volume 2
Foresight,"Combat, Divination",Azuth,1,Priests Spell Compendium Volume 1
Detect Dwarves,Divination,Dwarf,1,Priests Spell Compendium Volume 1
Detect Harmful Gas,Divination,Dwarf,1,Priests Spell Compendium Volume 1
Detect Weapons,Divination,Dwarf,1,Priests Spell Compendium Volume 1
Divine Romantic Interest,Divination,Elf,1,Priests Spell Compendium Volume 1
Find Sustenance,Divination,Elf,1,Priests Spell Compendium Volume 1
Detect Drow,Divination,"Elf, Gnome",1,Priests Spell Compendium Volume 1
Assess Value,Divination,Lliira,1,Priests Spell Compendium Volume 1
Truemetal,Divination,Lliira,1,Priests Spell Compendium Volume 3
Find Drinkable Water,Divination,Mielikki,1,Priests Spell Compendium Volume 1
Spirit Mask,Divination,Silvanus,1,Priests Spell Compendium Volume 3
Analyze Opponent,Divination,Tempus,1,Priests Spell Compendium Volume 1
Divine Bloodline,Divination,Tyr,1,Priests Spell Compendium Volume 1
Detect Balance,Divination,,1,Priests Spell Compendium Volume 1
Detect Disease,Divination,,1,Priests Spell Compendium Volume 1
Detect Evil,Divination,,1,Priests Spell Compendium Volume 1
Detect Harmony,Divination,,1,Priests Spell Compendium Volume 1
